,concurrent,op_type,size,lat
0,1,rd,2048,3.2410025596618652e-06
1,1,wr,2048,2.7604401111602783e-06
2,1,rd,4096,3.635883331298828e-06
3,1,wr,4096,3.606081008911133e-06
4,1,rd,8192,4.4889748096466064e-06
5,1,wr,8192,4.280358552932739e-06
6,1,rd,16384,5.867332220077515e-06
7,1,wr,16384,5.7034194469451904e-06
8,1,rd,32768,8.64267349243164e-06
9,1,wr,32768,8.247792720794678e-06
10,1,rd,65536,1.4301389455795288e-05
11,1,wr,65536,1.3753771781921387e-05
12,1,rd,131072,2.5756657123565674e-05
13,1,wr,131072,2.431124448776245e-05
14,1,rd,262144,4.822388291358948e-05
15,1,wr,262144,4.653632640838623e-05
16,1,rd,524288,9.289756417274475e-05
17,1,wr,524288,8.831173181533813e-05
18,1,rd,1048576,0.00018439814448356628
19,1,wr,1048576,0.0001718178391456604
20,10,rd,2048,3.38628888130188e-06
21,10,wr,2048,2.812594175338745e-06
22,10,rd,4096,3.762543201446533e-06
23,10,wr,4096,3.3266842365264893e-06
24,10,rd,8192,4.556030035018921e-06
25,10,wr,8192,4.295259714126587e-06
26,10,rd,16384,6.0461461544036865e-06
27,10,wr,16384,5.6587159633636475e-06
28,10,rd,32768,8.821487426757812e-06
29,10,wr,32768,8.221715688705444e-06
30,10,rd,65536,1.4834105968475342e-05
31,10,wr,65536,1.3578683137893677e-05
32,10,rd,131072,2.6650726795196533e-05
33,10,wr,131072,2.465769648551941e-05
34,10,rd,262144,4.8357993364334106e-05
35,10,wr,262144,4.597380757331848e-05
36,10,rd,524288,9.319931268692017e-05
37,10,wr,524288,8.810684084892273e-05
38,10,rd,1048576,0.00018458068370819092
39,10,wr,1048576,0.00017186254262924194
40,10,rd,2048,6.24731183052063e-06
41,10,wr,2048,5.431473255157471e-06
42,10,rd,4096,6.5676867961883545e-06
43,10,wr,4096,6.195157766342163e-06
44,10,rd,8192,8.892267942428589e-06
45,10,wr,8192,7.651746273040771e-06
46,10,rd,16384,1.2073665857315063e-05
47,10,wr,16384,1.0814517736434937e-05
48,10,rd,32768,1.7445534467697144e-05
49,10,wr,32768,1.576170325279236e-05
50,10,rd,65536,2.699717879295349e-05
51,10,wr,65536,2.7533620595932007e-05
52,10,rd,131072,5.1077455282211304e-05
53,10,wr,131072,4.82611358165741e-05
54,10,rd,262144,9.01445746421814e-05
55,10,wr,262144,8.974596858024597e-05
56,10,rd,524288,0.0001753009855747223
57,10,wr,524288,0.00016888603568077087
58,10,rd,1048576,0.0003430172801017761
59,10,wr,1048576,0.00019973888993263245
60,10,rd,2048,3.8929283618927e-06
61,10,wr,2048,2.9616057872772217e-06
62,10,rd,4096,3.807246685028076e-06
63,10,wr,4096,3.509223461151123e-06
64,10,rd,8192,4.556030035018921e-06
65,10,wr,8192,4.347413778305054e-06
66,10,rd,16384,6.068497896194458e-06
67,10,wr,16384,5.7034194469451904e-06
68,10,rd,32768,8.780509233474731e-06
69,10,wr,32768,8.23289155960083e-06
70,10,rd,65536,1.582503318786621e-05
71,10,wr,65536,1.3608485460281372e-05
72,10,rd,131072,2.7164816856384277e-05
73,10,wr,131072,2.5324523448944092e-05
74,10,rd,262144,4.9855560064315796e-05
75,10,wr,262144,4.673376679420471e-05
76,10,rd,524288,9.534135460853577e-05
77,10,wr,524288,8.81589949131012e-05
