idx,concurrent,op_type,size,lat
0,1,rd,2048,7.037818431854248e-05
1,1,wr,2048,7.74189829826355e-05
2,1,rd,4096,6.629526615142822e-05
3,1,wr,4096,7.37309455871582e-05
4,1,rd,8192,7.480382919311523e-05
5,1,wr,8192,7.350742816925049e-05
6,1,rd,16384,7.306784391403198e-05
7,1,wr,16384,8.144974708557129e-05
8,1,rd,32768,7.90134072303772e-05
9,1,wr,32768,9.51811671257019e-05
10,1,rd,65536,9.87127423286438e-05
11,1,wr,65536,9.579956531524658e-05
12,1,rd,131072,9.462982416152954e-05
13,1,wr,131072,8.808821439743042e-05
14,1,rd,262144,8.437782526016235e-05
15,1,wr,262144,8.6955726146698e-05
16,1,rd,524288,8.590519428253174e-05
17,1,wr,524288,8.846819400787354e-05
18,1,rd,1048576,8.539855480194092e-05
19,1,wr,1048576,9.237974882125854e-05
20,1,rd,2048,9.340047836303711e-05
21,1,wr,2048,9.052455425262451e-05
22,1,rd,4096,8.02651047706604e-05
23,1,wr,4096,8.222460746765137e-05
24,1,rd,8192,8.544325828552246e-05
25,1,wr,8192,9.509176015853882e-05
26,1,rd,16384,9.006261825561523e-05
27,1,wr,16384,9.921938180923462e-05
28,1,rd,32768,9.273737668991089e-05
29,1,wr,32768,9.112060070037842e-05
30,1,rd,65536,9.103119373321533e-05
31,1,wr,65536,9.419769048690796e-05
32,1,rd,131072,8.764117956161499e-05
33,1,wr,131072,9.18656587600708e-05
34,1,rd,262144,9.331852197647095e-05
35,1,wr,262144,0.00012312829494476318
36,1,rd,524288,0.00013781338930130005
37,1,wr,524288,0.00013558566570281982
38,1,rd,1048576,8.192658424377441e-05
39,1,wr,1048576,8.875131607055664e-05
40,1,rd,2048,9.340047836303711e-05
41,1,wr,2048,9.052455425262451e-05
42,1,rd,4096,8.02651047706604e-05
43,1,wr,4096,8.222460746765137e-05
44,1,rd,8192,8.544325828552246e-05
45,1,wr,8192,9.509176015853882e-05
46,1,rd,16384,9.006261825561523e-05
47,1,wr,16384,9.921938180923462e-05
48,1,rd,32768,9.273737668991089e-05
49,1,wr,32768,9.112060070037842e-05
50,1,rd,65536,9.103119373321533e-05
51,1,wr,65536,9.419769048690796e-05
52,1,rd,131072,8.764117956161499e-05
53,1,wr,131072,9.18656587600708e-05
54,1,rd,262144,9.331852197647095e-05
55,1,wr,262144,0.00012312829494476318
56,1,rd,524288,0.00013781338930130005
57,1,wr,524288,0.00013558566570281982
58,1,rd,1048576,8.192658424377441e-05
59,1,wr,1048576,8.875131607055664e-05
60,10,rd,2048,0.0001050308346748352
61,10,wr,2048,9.698420763015747e-05
62,10,rd,4096,7.748603820800781e-05
63,10,wr,4096,7.621943950653076e-05
64,10,rd,8192,8.354336023330688e-05
65,10,wr,8192,8.676201105117798e-05
66,10,rd,16384,8.580833673477173e-05
67,10,wr,16384,9.2335045337677e-05
68,10,rd,32768,9.438395500183105e-05
69,10,wr,32768,9.307265281677246e-05
70,10,rd,65536,8.703768253326416e-05
71,10,wr,65536,9.955465793609619e-05
72,10,rd,131072,9.150803089141846e-05
73,10,wr,131072,9.433925151824951e-05
74,10,rd,262144,8.832663297653198e-05
75,10,wr,262144,9.050220251083374e-05
76,10,rd,524288,8.734315633773804e-05
77,10,wr,524288,8.910894393920898e-05
78,10,rd,1048576,9.229034185409546e-05
79,10,wr,1048576,8.987635374069214e-05
80,10,rd,2048,8.421391248703003e-05
81,10,wr,2048,8.704513311386108e-05
82,10,rd,4096,8.795410394668579e-05
83,10,wr,4096,8.343905210494995e-05
84,10,rd,8192,8.335709571838379e-05
85,10,wr,8192,9.033083915710449e-05
86,10,rd,16384,9.367614984512329e-05
87,10,wr,16384,9.423494338989258e-05
88,10,rd,32768,9.804964065551758e-05
89,10,wr,32768,9.77739691734314e-05
90,10,rd,65536,9.665638208389282e-05
91,10,wr,65536,0.00011166930198669434
92,10,rd,131072,9.47415828704834e-05
93,10,wr,131072,9.636580944061279e-05
94,10,rd,262144,9.529292583465576e-05
95,10,wr,262144,9.708106517791748e-05
96,10,rd,524288,9.51811671257019e-05
97,10,wr,524288,9.780377149581909e-05
98,10,rd,1048576,0.00010926276445388794
99,10,wr,1048576,9.685009717941284e-05
100,10,rd,2048,7.472187280654907e-05
101,10,wr,2048,7.58245587348938e-05
102,10,rd,4096,7.385015487670898e-05
103,10,wr,4096,7.564574480056763e-05
104,10,rd,8192,7.850676774978638e-05
105,10,wr,8192,7.56680965423584e-05
106,10,rd,16384,7.690489292144775e-05
107,10,wr,16384,9.441375732421875e-05
108,10,rd,32768,9.023398160934448e-05
109,10,wr,32768,9.248405694961548e-05
110,10,rd,65536,8.774548768997192e-05
111,10,wr,65536,9.594112634658813e-05
112,10,rd,131072,9.305030107498169e-05
113,10,wr,131072,9.268522262573242e-05
114,10,rd,262144,9.43988561630249e-05
115,10,wr,262144,9.359419345855713e-05
116,10,rd,524288,9.278208017349243e-05
117,10,wr,524288,9.257346391677856e-05
118,10,rd,1048576,9.161978960037231e-05
119,10,wr,1048576,8.862465620040894e-05
120,10,rd,2048,9.655207395553589e-05
121,10,wr,2048,8.729100227355957e-05
122,10,rd,4096,8.246302604675293e-05
123,10,wr,4096,0.00011116266250610352
124,10,rd,8192,0.00011179596185684204
125,10,wr,8192,0.00011840462684631348
126,10,rd,16384,8.417665958404541e-05
127,10,wr,16384,7.362663745880127e-05
128,10,rd,32768,8.446723222732544e-05
129,10,wr,32768,7.853657007217407e-05
130,10,rd,65536,8.64863395690918e-05
131,10,wr,65536,8.61436128616333e-05
132,10,rd,131072,7.808953523635864e-05
133,10,wr,131072,8.255243301391602e-05
134,10,rd,262144,7.986277341842651e-05
135,10,wr,262144,8.777529001235962e-05
136,10,rd,524288,8.475780487060547e-05
137,10,wr,524288,8.764863014221191e-05
138,10,rd,1048576,8.370727300643921e-05
139,10,wr,1048576,8.592009544372559e-05
140,10,rd,2048,0.00010047107934951782
141,10,wr,2048,8.435547351837158e-05
142,10,rd,4096,8.45789909362793e-05
143,10,wr,4096,8.513033390045166e-05
144,10,rd,8192,9.059160947799683e-05
145,10,wr,8192,9.122490882873535e-05
146,10,rd,16384,9.033083915710449e-05
147,10,wr,16384,9.613484144210815e-05
148,10,rd,32768,9.740889072418213e-05
149,10,wr,32768,9.830296039581299e-05
150,10,rd,65536,9.876489639282227e-05
151,10,wr,65536,9.619444608688354e-05
152,10,rd,131072,9.788572788238525e-05
153,10,wr,131072,9.778141975402832e-05
154,10,rd,262144,9.59634780883789e-05
155,10,wr,262144,9.717047214508057e-05
156,10,rd,524288,9.174644947052002e-05
157,10,wr,524288,9.55536961555481e-05
158,10,rd,1048576,8.990615606307983e-05
159,10,wr,1048576,9.378790855407715e-05
160,10,rd,2048,9.686499834060669e-05
161,10,wr,2048,7.961690425872803e-05
162,10,rd,4096,7.66366720199585e-05
163,10,wr,4096,7.909536361694336e-05
164,10,rd,8192,8.04513692855835e-05
165,10,wr,8192,8.506327867507935e-05
166,10,rd,16384,7.96690583229065e-05
167,10,wr,16384,8.221715688705444e-05
168,10,rd,32768,8.402019739151001e-05
169,10,wr,32768,8.704513311386108e-05
