idx,concurrent,op_type,tput
0,1,wr,1056.5506877594657
1,1,rd,1004.0383445046599
2,1,wr,826.399836450475
3,1,rd,1026.437428662653
4,1,wr,826.399836450475
5,1,rd,1026.437428662653
6,10,wr,1195.8697202089043
7,10,rd,884.2967257094502
8,10,wr,819.0369855700603
9,10,rd,933.6735226433314
10,10,wr,804.468062000142
11,10,rd,967.492085088592
12,10,wr,1270.5246525813368
13,10,rd,987.3699129659553
14,10,wr,824.0444170038015
15,10,rd,866.2634889042803
16,10,wr,1206.450640413876
17,10,rd,856.8456897939625
18,10,wr,801.5501287575514
19,10,rd,908.7282470329374
20,10,wr,1299.8335764550075
21,10,rd,911.2051498015701
22,10,wr,839.9758186819672
23,10,rd,990.1365502065873
24,10,wr,1222.9292570612602
25,10,rd,880.0213944152741
26,20,wr,1109.8896823275145
27,20,rd,1058.1289983630288
28,20,wr,840.6247986008138
29,20,rd,906.4062083494471
30,20,wr,1334.349858633954
31,20,rd,1099.1295175974662
32,20,wr,817.0214340880298
33,20,rd,914.6145543221829
34,20,wr,1071.9721320065737
35,20,rd,877.2196268305844
36,20,wr,1209.7322066260874
37,20,rd,1000.2036043467153
38,20,wr,1240.1044744724932
39,20,rd,912.6621944816135
40,20,wr,800.4785567494695
41,20,rd,1021.0221129637039
42,20,wr,1287.0092272821664
43,20,rd,1076.2927724072017
44,20,wr,790.0486763824692
45,20,rd,1112.4639116031258
46,20,wr,1214.3358016062718
47,20,rd,950.4741222321242
48,20,wr,1210.2558043760873
49,20,rd,986.9361055687289
50,20,wr,835.1083580303036
51,20,rd,873.8173333516439
52,20,wr,1257.3718696105689
53,20,rd,1010.5988499085748
54,20,wr,816.8251857174129
55,20,rd,781.2731130587202
56,20,wr,824.6697951875207
57,20,rd,1027.7688251531765
58,20,wr,843.1666313136018
59,20,rd,1051.318385568997
60,20,wr,1157.3621040383487
61,20,rd,1025.474777187346
62,20,wr,985.398507482719
63,20,rd,1035.765107906686
64,20,wr,1337.7999567353133
65,20,rd,885.1757176830602
