,concurrent,op_type,tput
0,1,rd,4208.303595897877
1,1,wr,5896.533643790367
2,10,rd,2217.4600343024836
3,10,wr,2363.1597893332923
4,10,rd,1483.3548859474454
5,10,wr,2055.9841302666146
6,10,rd,2170.2797236472597
7,10,wr,1997.287154648634
8,10,rd,780.8346442334831
9,10,wr,3233.39516304491
10,20,rd,1119.3740881560068
11,20,wr,1329.6830379912997
12,20,rd,1247.261824466091
13,20,wr,1187.9399791175433
14,20,rd,2020.2037415681134
15,20,wr,1026.6902769778071
16,20,rd,1969.709036217928
17,20,wr,1052.6589082214145
18,20,rd,5189.731498526746
19,20,wr,5722.083541723566
20,20,rd,5195.453726844067
21,20,wr,5894.142448578534
22,20,rd,5203.482296213059
23,20,wr,5861.072149051133
