sys,stype,chain_length,func_time,mean_latency,std_latency,latency_per_object,overhead_per_object,,,
Porus,Warm,2,10,43.46,11.98,21.73,11.73,,,
Porus,Warm,2,100,218.00,7.13,109.00,9.00,,,
Porus,Warm,2,1000,2019.78,8.16,1009.89,9.89,,,
Porus,Warm,2,10000,20024.22,,10012.11,12.11,,,
Porus,Warm,8,10,179.26,75.12,22.41,12.41,,,
Porus,Warm,8,100,874.40,27.47,109.30,9.30,,,
Porus,Warm,8,1000,8122.36,37.64,1015.30,15.30,,,
Porus,Warm,8,10000,106423.00,,13302.88,3302.88,,,
OpenWhisk,Warm,2,10,89.10,13.06,44.55,34.55,,,
OpenWhisk,Warm,2,100,266.20,7.51,133.10,33.10,,,
OpenWhisk,Warm,2,1000,2063.28,9.67,1031.64,31.64,,,
OpenWhisk,Warm,2,10000,20105.00,11.73,10052.50,52.50,,,
OpenWhisk,Warm,8,10,301.26,36.20,37.66,27.66,,,
OpenWhisk,Warm,8,100,1010.70,40.74,126.34,26.34,,,
OpenWhisk,Warm,8,1000,8254.67,15.13,1031.83,31.83,,,
OpenWhisk,Warm,8,10000,104990.50,10641.14,13123.81,3123.81,,,
AWS Step Functions,Warm,2,10,248.00,,124.00,114.00,,,
AWS Step Functions,Warm,2,100,378.75,,189.38,89.38,,,
AWS Step Functions,Warm,2,1000,2206.50,,1103.25,103.25,,,
AWS Step Functions,Warm,2,10000,20230.50,,10115.25,115.25,,,


AWS Step Functions,Warm,8,10,248.00,,124.00,114.00,,,
AWS Step Functions,Warm,8,100,378.75,,189.38,89.38,,,
AWS Step Functions,Warm,8,1000,2206.50,,1103.25,103.25,,,
AWS Step Functions,Warm,8,10000,20230.50,,10115.25,115.25,,,
