sys,stype,parallelism,func_time,mean_latency,std_latency,latency_per_object,sched_overhead,overhead_per_object,,,,,,,
Porus,Warm,2,10,202.80,26.83,67.60,172.80,43.20,,,,,,,
Porus,Warm,2,100,374.64,35.31,124.88,74.64,18.66,,,,,,,
Porus,Warm,2,1000,3114.00,35.02,1038.00,114.00,28.50,,,,,,,
Porus,Warm,2,10000,30140.00,51.95,10046.67,140.00,35.00,,,,,,,
Porus,Warm,8,10,224.20,32.40,74.73,194.20,19.42,,,,,,,
Porus,Warm,8,100,343.20,31.31,114.40,43.20,4.32,,,,,,,
Porus,Warm,8,1000,3138.90,16.72,1046.30,138.90,13.89,,,,,,,
Porus,Warm,8,10000,30155.75,23.42,10051.92,155.75,15.58,,,,,,,
OpenWhisk,Warm,2,10,256.09,47.04,85.36,226.09,56.52,,,,,,,
OpenWhisk,Warm,2,100,516.36,24.07,172.12,216.36,54.09,,,,,,,
OpenWhisk,Warm,2,1000,3224.45,12.40,1074.82,224.45,56.11,,,,,,,
OpenWhisk,Warm,2,10000,30240.45,24.94,10080.15,240.45,60.11,,,,,,,
OpenWhisk,Warm,8,10,13772.33,2800.84,4590.78,13742.33,1374.23,,,,,,,
OpenWhisk,Warm,8,100,15433.67,1952.22,5144.56,15133.67,1513.37,,,,,,,
OpenWhisk,Warm,8,1000,15915.17,1869.55,5305.06,12915.17,1291.52,,,,,,,
OpenWhisk,Warm,8,10000,44481.17,2491.88,14827.06,14481.17,1448.12,,,,,,,
AWS Step Functions,Warm,2,10,437.67,34.77,145.89,407.67,101.92,,,,,,,
AWS Step Functions,Warm,2,100,640.33,98.35,213.44,340.33,85.08,,,,,,,
AWS Step Functions,Warm,2,1000,3348.33,1211.17,1116.11,348.33,87.08,,,,,,,
AWS Step Functions,Warm,2,10000,30423.67,63.96,10141.22,423.67,105.92,,,,,,,
AWS Step Functions,Warm,8,10,526.83,80.03,175.61,496.83,49.68,,,,,,,
AWS Step Functions,Warm,8,100,779.33,155.81,259.78,479.33,47.93,,,,,,,
AWS Step Functions,Warm,8,1000,3419.83,18.76,1139.94,419.83,41.98,,,,,,,
AWS Step Functions,Warm,8,10000,30499.67,55.09,10166.56,499.67,49.97,,,,,,,
